title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
0,3,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",[ William McKinney],53.99,53.99,547,4.6,"1,686",75%,16%,5%,2%,2%,7 x 1.11 x 9.19 inches,1.47 pounds,English,"O'Reilly Media; 2nd edition (November 14, 2017)",978-1491957660,/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11
1,4,Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[ Paul McFedries],24.49,24.49,368,3.9,12,52%,17%,10%,10%,10%,7.38 x 0.83 x 9.25 inches,1.3 pounds,English,"For Dummies; 5th edition (February 3, 2022)",978-1119844426,/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12,https://www.amazon.com/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12
2,6,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[ Cathy Tanimura],40.49,40.49,360,4.6,72,75%,18%,2%,2%,2%,6.75 x 0.75 x 8.75 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (October 5, 2021)",978-1492088783,/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9,https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9
3,15,"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",[ Walter Shields],24.99,24.99,249,4.6,"1,358",72%,18%,7%,1%,2%,7.5 x 0.57 x 9.25 inches,15.5 ounces,English,"ClydeBank Media LLC; Illustrated edition (November 18, 2019)",978-1945051753,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1
4,18,Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),[ Programming Languages Academy],19.38,19.38,234,4.4,56,73%,8%,10%,4%,4%,6 x 0.53 x 9 inches,11.4 ounces,Spanish,"Independently published (May 2, 2020)",979-8642649534,/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53,https://www.amazon.com/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53
5,20,Python Tricks: A Buffet of Awesome Python Features,[ Dan Bader],29.99,29.99,301,4.7,"1,330",76%,17%,5%,1%,1%,6 x 0.68 x 9 inches,14.3 ounces,English,"Dan Bader; 1st edition (October 25, 2017)",978-1775093305,/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56
6,21,Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,24.2,338,4.5,55,76%,8%,10%,3%,3%,7 x 0.75 x 9 inches,1.19 pounds,English,"O'Reilly Media; 2nd edition (June 8, 2021)",978-1492089469,/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55
7,26,"Fluent Python: Clear, Concise, and Effective Programming",[ Luciano Ramalho],50.99, 25.50 - 50.99 ,1012,4.7,172,86%,7%,2%,3%,2%,7 x 2 x 9.25 inches,3.53 ounces,English,"O'Reilly Media; 2nd edition (May 10, 2022)",978-1492056355,/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51
8,31,Coding Games in Python (Computer Coding for Kids),[ DK],13.99,13.99,224,4.5,274,70%,17%,6%,4%,4%,7.75 x 0.63 x 9.19 inches,1.54 pounds,English,"DK Children; Illustrated edition (July 3, 2018)",$13.99 ,/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45,https://www.amazon.com/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45
9,35,Python for Algorithmic Trading: From Idea to Cloud Deployment,[ Yves Hilpisch],44.49,44.49,380,4.3,102,67%,14%,9%,5%,5%,7 x 0.9 x 9.1 inches,3.53 ounces,English,"O'Reilly Media; 1st edition (December 8, 2020)",978-1492053354,/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,https://www.amazon.com/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40
